id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,Franziska Brantner,0,1,1979,Staatssekretär,Promotion,Politik,Grünen,,1,14.055,4460,2.746,26
ft,Toncar,Florian Toncar,0,2,1979,Staatssekretär,Promotion,Recht,FDP,evangelisch,3,8589,3070,4477,99
rs,Schwarzeluehr-Suetter,Rita Schwarzeluehr-Suetter,0,1,1962,Staatssekretär,Diplom,Wirtschaft,SPD,römisch-katholisch,2,4250,1534,2941,17
tl,Lindner,Tobias Lindner,0,2,1982,Staatsminister,Promotion,Wirtschaft,Grünen,,0,10519,3583,4920,
bs,Strasser,Benjamin Strasser,0,2,1987,Staatssekretär,Staatsexamen,Recht,FDP,römisch-katholisch,0,5809,3921,3370,288
co,Oezdemir,Cem Oezdemir,0,2,1965,Bundesminister,Diplom,Pädagogik,Grünen,,2,317.320,105000,162576,
mt,Theurer,Michael Theurer,0,2,1967,Staatssekretär,Diplom,Wirtschaft,FDP,evangelisch,2,8481,3746,27914,
ck,Kuehn,Christian Kuehn,0,2,1979,Staatsekretär,Magister,Politik,Grünen,evangelisch-lutheisch,3,4788,1659,98,35
jb,Brandenburg,Jens Brandenburg,0,2,1986,Staatsekretär,Promotion,Politik,FDP,,0,5410,3324,,
bun,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",,1,,,,,,,,,,,,
but,Deutscher Bundestag,,1,,,,,,,,,,,,
eu,Europäisches Parlament,,1,,,,,,,,,,,,
fdpb,FDP BW,,1,,,,,,,,,,,,
ih,Ausschuss Inneres & Heimat,,1,,,,,,,,,,,,
jl,Junge Liberale,,1,,,,,,,,,,,,
ag,"Agora (Verkehrswende / Energiewende), Smart Energy for Europa Platform (SEFEP) gemeinnützige GmbH",,1,,,,,,,,,,,,
ra,Rechtsanwalt,,1,,,,,,,,,,,,
un,Unternehmensberatung,,1,,,,,,,,,,,,
fr,Freiburg,,1,,,,,,,,,,,,
tue,Tuebingen,,1,,,,,,,,,,,,
