id,name_short,name,type,sex,birth,position,education,subject,pa,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,FranziskaBrantner,0,1,1979,1,1,1,1,0,1,14055,4460,2.746,26
ft,Toncar,FlorianToncar,0,2,1979,1,1,2,2,1,3,8589,3070,4477,99
rs,SchwarzeluehrSuetter,RitaSchwarzeluehrSuetter,0,1,1962,1,2,3,3,2,2,4250,1534,2941,17
tl,Lindner,TobiasLindner,0,2,1982,3,1,3,1,0,0,10519,3583,4920,0
bs,Strasser,BenjaminStrasser,0,2,1987,1,3,2,2,2,0,5809,3921,3370,288
co,Oezdemir,CemOezdemir,0,2,1965,2,2,4,1,0,2,317320,105000,162576,0
mt,Theurer,MichaelTheurer,0,2,1967,1,2,3,2,1,2,8481,3746,27914,0
ck,Kuehn,ChristianKuehn,0,2,1979,1,4,1,1,3,3,4788,1659,98,35
jb,Brandenburg,JensBrandenburg,0,2,1986,1,1,1,2,0,0,5410,3324,0,0
bun,bun,BundesministeriumFuerUmweltNaturschutzNukleareSicherheitUndVerbraucherschutz,1,0,0,0,0,0,0,0,0,0,0,0,0
but,but,DeutscherBundestag,1,0,0,0,0,0,0,0,0,0,0,0,0
eu,eu,EuropaeischesParlament,1,0,0,0,0,0,0,0,0,0,0,0,0
fdpb,fdpb,FDPBW,1,0,0,0,0,0,0,0,0,0,0,0,0
ih,ih,AusschussInneresHeimat,1,0,0,0,0,0,0,0,0,0,0,0,0
jl,jl,JungeLiberale,1,0,0,0,0,0,0,0,0,0,0,0,0
ag,ag,Agora,1,0,0,0,0,0,0,0,0,0,0,0,0
ra,ra,Rechtsanwalt,1,0,0,0,0,0,0,0,0,0,0,0,0
un,un,Unternehmensberatung,1,0,0,0,0,0,0,0,0,0,0,0,0
fr,fr,Freiburg,1,0,0,0,0,0,0,0,0,0,0,0,0
tue,tue,Tuebingen,1,0,0,0,0,0,0,0,0,0,0,0,0
